,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
                                                                                                 MONTHLY TABLE GAME REPORT 1,,,,,,,    MONTHLY TABLE GAME REPORT 1,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,,FY 2022/2023 Total,
Fully Automated Electronic Tables,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Hybrid Tables,11,11,11,11,11,11,11,11,11,11,11,11,,,
Gross Revenue,"$304,171","$211,178","$249,821","$282,804","$191,766","$227,775","$204,786","$283,184","$418,233","$375,183","$251,593","$191,893",,"$3,192,387",
State Tax Due 2,"$42,584","$29,565","$34,975","$39,593","$26,847","$31,889","$28,670","$39,646","$58,553","$52,526","$35,223","$26,865",,"$446,934",
Local Share Assessment,"$6,083","$4,224","$4,996","$5,656","$3,835","$4,556","$4,096","$5,664","$8,365","$7,504","$5,032","$3,838",,"$63,848",
,,,,,,,,,,,,,,,
THE RIVERS-PHILADELPHIA,,,,,,,,,,,,,,,
Total Table Games,126, 126 ,126,124,116,126,143,144,144,144,144,144,,,
Gross Revenue,"$7,650,792","$7,301,127","$7,551,074","$8,007,785","$8,814,452","$8,848,631","$8,603,066","$8,292,458","$8,229,283","$7,820,665","$8,024,649","$7,426,114",,"$96,570,094",
State Tax Due 2,"$1,071,111","$1,022,158","$1,057,150","$1,121,090","$1,234,023","$1,256,946","$1,256,149","$1,222,803","$1,208,367","$1,168,000","$1,194,918","$1,114,215",,"$13,926,930",
Local Share Assessment,"$153,016","$146,023","$151,022","$160,156","$176,289","$176,973","$172,061","$165,849","$164,586","$156,413","$160,493","$148,522",,"$1,931,402",
Non-Banking Tables 3,28,28,28,28,28,28,28,28,28,28,28,28,,,
Gross Revenue,"$661,692","$561,914","$561,839","$557,097","$549,660","$554,617","$608,621","$613,990","$675,176","$657,187","$590,648","$490,139",,"$7,082,580",
State Tax Due 2,"$92,637","$78,668","$78,657","$77,994","$76,952","$77,646","$85,207","$85,959","$94,525","$92,006","$82,691","$68,619",,"$991,561",
Local Share Assessment,"$13,234","$11,238","$11,237","$11,142","$10,993","$11,092","$12,172","$12,280","$13,504","$13,144","$11,813","$9,803",,"$141,652",
Banking Tables 4,87,87,87,84,78,78,78,78,78,78,78,78,,,
Gross Revenue,"$6,744,674","$6,483,424","$6,810,351","$7,251,778","$8,162,720","$8,168,803","$7,668,630","$7,303,639","$7,193,348","$6,783,417","$7,011,720","$6,545,118",,"$86,127,621",
State Tax Due 2,"$944,254","$907,679","$953,449","$1,015,249","$1,142,781","$1,143,632","$1,073,608","$1,022,510","$1,007,069","$949,678","$981,641","$916,317",,"$12,057,867",
Local Share Assessment,"$134,894","$129,668","$136,207","$145,036","$163,254","$163,376","$153,373","$146,073","$143,867","$135,668","$140,234","$130,902",,"$1,722,553",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,0,0,0,0,0,10,25,25,25,25,25,25,,,
Gross Revenue,$0,$0,$0,$0,$0,"$53,346","$152,117","$181,937","$165,492","$215,020","$210,198","$219,292",,"$1,197,401",
State Tax Due 2,$0,$0,$0,$0,$0,"$25,606","$73,016","$87,330","$79,436","$103,210","$100,895","$105,260",,"$574,752",
Local Share Assessment,$0,$0,$0,$0,$0,"$1,067","$3,042","$3,639","$3,310","$4,300","$4,204","$4,386",,"$23,948",
Hybrid Tables,11,11,11,10,10,10,12,13,13,13,13,13,,,
Gross Revenue,"$244,426","$255,789","$178,884","$198,910","$102,072","$71,865","$173,698","$192,892","$195,268","$165,041","$212,083","$171,565",,"$2,162,493",
State Tax Due 2,"$34,220","$35,810","$25,044","$27,847","$14,290","$10,061","$24,318","$27,005","$27,338","$23,106","$29,692","$24,019",,"$302,749",
Local Share Assessment,"$4,889","$5,116","$3,578","$3,978","$2,041","$1,437","$3,474","$3,858","$3,905","$3,301","$4,242","$3,431",,"$43,250",
,,,,,,,,,,,,,,,
VALLEY FORGE,,,,,,,,,,,,,,,
Total Table Games,50, 50 ,50,50,50,50,50,50,50,50,50,50,,,
Gross Revenue,"$2,991,752","$2,489,048","$2,666,473","$2,660,950","$1,804,717","$2,546,573","$2,948,224","$2,410,406","$2,904,805","$2,645,246","$2,898,490","$2,787,334",,"$31,754,019",
State Tax Due 2,"$418,845","$348,467","$373,306","$372,533","$252,660","$356,520","$412,751","$337,457","$406,673","$370,334","$405,789","$390,227",,"$4,445,563",
Local Share Assessment,"$59,835","$49,781","$53,329","$53,219","$36,094","$50,931","$58,965","$48,208","$58,096","$52,905","$57,970","$55,747",,"$635,081",
Non-Banking Tables 3,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Banking Tables 4,50,50,50,50,50,50,50,50,50,50,50,50,,,
Gross Revenue,"$2,991,752","$2,489,048","$2,666,473","$2,660,950","$1,804,717","$2,546,573","$2,948,224","$2,410,406","$2,904,805","$2,645,246","$2,898,490","$2,787,334",,"$31,754,019",
State Tax Due 2,"$418,845","$348,467","$373,306","$372,533","$252,660","$356,520","$412,751","$337,457","$406,673","$370,334","$405,789","$390,227",,"$4,445,563",
Local Share Assessment,"$59,835","$49,781","$53,329","$53,219","$36,094","$50,931","$58,965","$48,208","$58,096","$52,905","$57,970","$55,747",,"$635,081",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Hybrid Tables,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
,,,,,,,,,,,,,,,
NEMACOLIN,,,,,,,,,,,,,,,
Total Table Games,26, 26 ,26,26,26,26,26,26,26,26,26,26,,,
Gross Revenue,"$219,042","$131,829","$175,174","$166,467","$137,429","$128,526","$156,853","$114,500","$167,975","$64,763","$96,364","$123,122",,"$1,682,043",
State Tax Due 2,"$30,666","$18,456","$24,524","$23,305","$19,240","$17,994","$21,959","$16,030","$23,517","$9,067","$13,491","$17,237",,"$235,486",
Local Share Assessment,"$4,381","$2,637","$3,503","$3,329","$2,749","$2,571","$3,137","$2,290","$3,360","$1,295","$1,927","$2,462",,"$33,641",
Non-Banking Tables 3,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Banking Tables 4,26,26,26,26,26,26,26,26,26,26,26,26,,,
Gross Revenue,"$219,042","$131,829","$175,174","$166,467","$137,429","$128,526","$156,853","$114,500","$167,975","$64,763","$96,364","$123,122",,"$1,682,043",
State Tax Due 2,"$30,666","$18,456","$24,524","$23,305","$19,240","$17,994","$21,959","$16,030","$23,517","$9,067","$13,491","$17,237",,"$235,486",
Local Share Assessment,"$4,381","$2,637","$3,503","$3,329","$2,749","$2,571","$3,137","$2,290","$3,360","$1,295","$1,927","$2,462",,"$33,641",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Hybrid Tables,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
,,,,,,,,,,,,,,,
LIVE PITTSBURGH,,,,,,,,,,,,,,,
Total Table Games,40,40,40,40,40,40,40 ,40 ,40 ,40 ,40 ,40 ,,,
Gross Revenue,"$1,337,903","$1,054,191","$1,023,524","$1,033,588","$1,217,781","$1,740,049","$1,483,418","$1,270,514","$1,501,829","$1,418,464","$1,353,242","$1,306,276",,"$15,740,780",
State Tax Due 2,"$187,306","$147,587","$143,293","$157,205","$178,383","$250,982","$207,679","$177,872","$210,256","$198,585","$189,454","$182,879",,"$2,231,480",
Local Share Assessment,"$26,758","$21,084","$20,470","$20,672","$24,356","$34,801","$29,668","$25,410","$30,037","$28,369","$27,065","$26,126",,"$314,816",
Non-Banking Tables 3,7,6,6,6,6,6,6,6 ,6 ,6 ,6 ,6 ,,,
Gross Revenue,"$85,674","$74,757","$67,294","$89,923","$71,786","$67,978","$60,886","$68,449","$85,861","$75,782","$57,693","$59,910",,"$865,993",
State Tax Due 2,"$11,994","$10,466","$9,421","$12,589","$10,050","$9,517","$8,524","$9,583","$12,021","$10,609","$8,077","$8,387",,"$121,239",
Local Share Assessment,"$1,713","$1,495","$1,346","$1,798","$1,436","$1,360","$1,218","$1,369","$1,717","$1,516","$1,154","$1,198",,"$17,320",
Banking Tables 4,29,29,30,31,33,33,34 ,34 ,34 ,34 ,34 ,34 ,,,
Gross Revenue,"$1,198,687","$920,638","$916,932","$909,271","$1,122,779","$1,650,381","$1,422,532","$1,202,065","$1,415,968","$1,342,682","$1,295,549","$1,246,366",,"$14,643,850",
State Tax Due 2,"$167,816","$128,889","$128,371","$127,298","$157,189","$231,053","$199,155","$168,289","$198,235","$187,976","$181,377","$174,491",,"$2,050,139",
Local Share Assessment,"$23,974","$18,413","$18,339","$18,185","$22,456","$33,008","$28,451","$24,041","$28,319","$26,854","$25,911","$24,927",,"$292,877",
Electronic Tables 5,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,0,0,0,0,1,1,0,0 ,0 ,0 ,0 ,0 ,,,
Gross Revenue,$0,$0,$0,"$36,772","$23,216","$21,691",$0,$0,$0,$0,$0,$0,,"$81,678",
State Tax Due 2,$0,$0,$0,"$17,650","$11,144","$10,411",$0,$0,$0,$0,$0,$0,,"$39,206",
Local Share Assessment,$0,$0,$0,$735,$464,$434,$0,$0,$0,$0,$0,$0,,"$1,634",
Hybrid Tables,4,4,4,2,0,0,0,0 ,0 ,0 ,0 ,0 ,,,
Gross Revenue,"$53,542","$58,796","$39,298","($2,378)",$0,$0,$0,$0,$0,$0,$0,$0,,"$149,258",
State Tax Due 2,"$7,496","$8,231","$5,502",($333),$0,$0,$0,$0,$0,$0,$0,$0,,"$20,896",
Local Share Assessment,"$1,071","$1,176",$786,($48),$0,$0,$0,$0,$0,$0,$0,$0,,"$2,985",
,,,,,,,,,,,,,,,
LIVE CASINO PHILADELPHIA,,,,,,,,,,,,,,,
Total Table Games,147,147,147,147,147,141,141 ,148 ,148 ,148 ,148 ,154 ,,,
Gross Revenue,"$7,808,104","$8,518,553","$7,803,698","$8,789,842","$8,671,165","$8,682,789","$10,412,552","$8,306,670","$9,001,914","$9,831,897","$7,009,595","$8,833,964",,"$103,670,742",
State Tax Due 2,"$1,093,135","$1,192,597","$1,092,518","$1,230,578","$1,213,963","$1,215,591","$1,459,277","$1,197,198","$1,316,585","$1,441,067","$1,020,840","$1,292,559",,"$14,765,907",
Local Share Assessment,"$156,162","$170,371","$156,074","$175,797","$173,423","$173,656","$208,251","$166,133","$180,038","$196,638","$140,192","$176,679",,"$2,073,415",
Non-Banking Tables 3,29,29,29,29,29,29,29,29 ,29 ,29 ,29 ,29 ,,,
Gross Revenue,"$568,940","$523,866","$495,314","$537,841","$514,300","$591,364","$624,170","$609,579","$721,816","$629,805","$651,206","$610,514",,"$7,078,715",
State Tax Due 2,"$79,652","$73,341","$69,344","$75,298","$72,002","$82,791","$87,384","$85,341","$101,054","$88,173","$91,169","$85,472",,"$991,020",
Local Share Assessment,"$11,379","$10,477","$9,906","$10,757","$10,286","$11,827","$12,483","$12,192","$14,436","$12,596","$13,024","$12,210",,"$141,574",
Banking Tables 4,105,105,105,105,105,105,105 ,105 ,105 ,105 ,105 ,105 ,,,
Gross Revenue,"$7,011,881","$7,757,794","$7,179,863","$8,011,025","$7,970,265","$7,925,395","$9,601,005","$7,436,702","$7,997,703","$8,885,763","$6,135,572","$7,950,793",,"$93,863,760",
State Tax Due 2,"$981,663","$1,086,091","$1,005,181","$1,121,544","$1,115,837","$1,109,555","$1,344,141","$1,041,138","$1,119,678","$1,244,007","$858,980","$1,113,111",,"$13,140,927",
Local Share Assessment,"$140,238","$155,156","$143,597","$160,221","$159,405","$158,508","$192,020","$148,734","$159,954","$177,715","$122,711","$159,016",,"$1,877,275",
Electronic Tables 5,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,0 ,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,0,0,0,0,0,0,0,10 ,10 ,10 ,10 ,16 ,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,"$4,470","$100,777","$165,639","$190,003","$116,166","$164,129",,"$741,185",
State Tax Due 2,$0,$0,$0,$0,$0,$0,"$2,146","$48,373","$79,507","$91,202","$55,760","$78,782",,"$355,769",
Local Share Assessment,$0,$0,$0,$0,$0,$0,$89,"$2,016","$3,313","$3,800","$2,323","$3,283",,"$14,824",
Hybrid Tables,13,13,13,13,13,7,4,4 ,4 ,4 ,4 ,4 ,,,
Gross Revenue,"$227,283","$236,893","$128,521","$240,976","$186,600","$166,030","$182,908 ","$159,612","$116,756","$126,325","$106,651","$108,528",,"$1,987,082",
State Tax Due 2,"$31,820","$33,165","$17,993","$33,737","$26,124","$23,244","$25,607 ","$22,346","$16,346","$17,686","$14,931","$15,194",,"$278,192",
Local Share Assessment,"$4,546","$4,738","$2,570","$4,820","$3,732","$3,321","$3,658 ","$3,192","$2,335","$2,527","$2,133","$2,171",,"$39,742",
,,,,,,,,,,,,,,,
HOLLYWOOD CASINO YORK ,,,,,,,,,,,,,,,
Total Table Games,29 ,29 ,29 ,29 ,29 ,29 ,29 ,28 ,29 ,29 ,27 ,27 ,,,
Gross Revenue,"$1,546,912 ","$1,582,722 ","$1,622,455","$1,288,013","$1,337,330","$1,277,754","$1,595,091","$1,208,571","$1,621,802","$1,505,619","$1,350,707","$1,032,242",,"$16,969,217",
State Tax Due 2,"$252,170 ","$255,445 ","$261,699","$219,247","$213,259","$225,269","$273,826","$199,117","$273,049","$265,785","$226,746","$144,514",,"$2,810,127",
Local Share Assessment,"$30,938 ","$31,654 ","$32,449.11 ","$25,760 ","$26,747 ","$25,555 ","$31,902 ","$24,171 ","$32,436 ","$30,112 ","$27,014 ","$20,645 ",,"$339,385",
Non-Banking Tables 3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Banking Tables 4,25 ,25 ,25 ,25 ,25 ,25 ,25 ,24 ,25 ,25 ,25 ,25 ,,,
Gross Revenue,"$1,398,651 ","$1,413,926","$1,438,191","$1,133,612","$1,222,425","$1,083,079","$1,392,098","$1,050,152","$1,397,282","$1,273,053","$1,217,815","$1,032,242",,"$15,052,526",
State Tax Due 2,"$195,811 ","$197,950","$201,347","$158,706","$171,140","$151,631","$194,894","$147,021","$195,620","$178,227","$170,494","$144,514",,"$2,107,354",
Local Share Assessment,"$27,973 ","$28,279","$28,764","$22,672","$24,449","$21,662","$27,842","$21,003","$27,946","$25,461","$24,356","$20,645",,"$301,051",
Electronic Tables 5,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,
Gross Revenue,$0 ,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0 ,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0 ,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,,,
Gross Revenue,"$104,714 ","$99,599","$101,632","$114,486","$76,569","$136,423","$148,569","$87,992","$135,286","$161,760","$110,727",$0,,"$1,277,753",
State Tax Due 2,"$50,262 ","$47,807","$48,783","$54,953","$36,753","$65,483","$71,313","$42,236","$64,937","$77,645","$53,149",$0,,"$613,321",
Local Share Assessment,"$2,094 ","$1,992","$2,033","$2,290","$1,531","$2,728","$2,971","$1,760","$2,706","$3,235","$2,215",$0,,"$25,555",
Hybrid Tables,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,0 ,0 ,,,
Gross Revenue,"$43,548 ","$69,197","$82,632 ","$39,916 ","$38,336","$58,253","$54,424","$70,428","$89,234","$70,806","$22,165",$0,,"$638,938",
State Tax Due 2,"$6,097 ","$9,688","$11,569 ","$5,588 ","$5,367","$8,155","$7,619","$9,860","$12,493","$9,913","$3,103",$0,,"$89,451",
Local Share Assessment,$871 ,"$1,384","$1,653 ",$798 ,$767,"$1,165","$1,088","$1,409","$1,785","$1,416",$443,$0,,"$12,779",
,,,,,,,,,,,,,,,
HOLLYWOOD CASINO MORGANTOWN,,,,,,,,,,,,,,,
Total Table Games,30 ,31 ,31 ,31 ,32 ,32 ,32 ,32 ,32 ,32 ,32 ,32 ,,,
Gross Revenue,"$1,050,514 ","$831,182 ","$853,513","$806,589","$914,241","$1,005,708","$876,076","$714,981","$1,102,544","$761,101","$820,947","$782,517",,"$10,519,911",
State Tax Due 2,"$147,072 ","$116,366 ","$119,492","$112,922","$127,994","$140,799","$122,651","$100,097","$154,356","$106,554","$114,933","$109,552",,"$1,472,788",
Local Share Assessment,"$21,010 ","$16,624 ","$17,070.27 ","$16,132 ","$18,285 ","$20,114 ","$17,522 ","$14,300 ","$22,051 ","$15,222 ","$16,419","$15,650",,"$210,398",
Non-Banking Tables 3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Banking Tables 4,28 ,28 ,28 ,28 ,29 ,29 ,29 ,29 ,29 ,29 ,29 ,29 ,,,
Gross Revenue,"$1,019,325 ","$792,124","$780,151","$678,762","$809,369","$879,191","$816,378","$676,910","$1,027,343","$663,879","$759,325","$662,714",,"$9,565,472",
State Tax Due 2,"$142,706 ","$110,897","$109,221","$95,027","$113,312","$123,087","$114,293","$94,767","$143,828","$92,943","$106,305","$92,780",,"$1,339,166",
Local Share Assessment,"$20,387 ","$15,843","$15,603","$13,575","$16,187","$17,584","$16,328","$13,538","$20,547","$13,278","$15,187","$13,254",,"$191,310",
Electronic Tables 5,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,
Gross Revenue,$0 ,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0 ,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0 ,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,
Gross Revenue,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,
Hybrid Tables,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,,,
Gross Revenue,"$31,189 ","$39,058","$73,363 ","$127,827 ","$104,872","$126,517","$59,698","$38,070","$75,200","$97,222","$61,622","$119,802",,"$954,439",
State Tax Due 2,"$4,366 ","$5,468","$10,271 ","$17,896 ","$14,682","$17,712","$8,358","$5,330","$10,528","$13,611","$8,627","$16,772",,"$133,621",
Local Share Assessment,$624 ,$781,"$1,467 ","$2,557 ","$2,097","$2,530","$1,194",$761,"$1,504","$1,944","$1,232","$2,396",,"$19,089",
,,,,,,,,,,,,,,,
PARX SHIPPENSBURG,,,,,,,,,,,,,,,
Total Table Games,,,,,,,10 ,10,10 ,10 ,10,10 ,,,
Gross Revenue,,,,,,,"$32,604 ","$193,235","$155,732","$105,726","$72,412","$99,134",,"$658,843",
State Tax Due 2,,,,,,,"$4,565 ","$27,053","$21,802","$14,802","$10,138","$13,879",,"$92,238",
Local Share Assessment,,,,,,,$652 ,"$3,865","$3,115","$2,115","$1,448","$1,983",,"$13,177",
Non-Banking Tables 3,,,,,,,0 ,0,0 ,0 ,0,0 ,,,
Gross Revenue,,,,,,,$0 ,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,,,,,,,$0 ,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,,,,,,,$0 ,$0,$0,$0,$0,$0,,$0,
Banking Tables 4,,,,,,,0 ,0,0 ,0 ,0,0 ,,,
Gross Revenue,,,,,,,$0 ,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,,,,,,,$0 ,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,,,,,,,$0 ,$0,$0,$0,$0,$0,,$0,
Electronic Tables 5,,,,,,,0 ,0,0 ,0 ,0,0 ,,,
Gross Revenue,,,,,,,$0 ,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,,,,,,,$0 ,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,,,,,,,$0 ,$0,$0,$0,$0,$0,,$0,
Fully Automated Electronic Tables,,,,,,,0 ,0,0 ,0 ,0,0 ,,,
Gross Revenue,,,,,,,$0 ,$0,$0,$0,$0,$0,,$0,
State Tax Due 2,,,,,,,$0 ,$0,$0,$0,$0,$0,,$0,
Local Share Assessment,,,,,,,$0 ,$0,$0,$0,$0,$0,,$0,
Hybrid Tables,,,,,,,10 ,10,10 ,10 ,10,10 ,,,
Gross Revenue,,,,,,,"$32,604 ","$193,235","$155,732","$105,726","$72,412","$99,134",,"$658,843",
State Tax Due 2,,,,,,,"$4,565 ","$27,053","$21,802","$14,802","$10,138","$13,879",,"$92,238",
Local Share Assessment,,,,,,,$652 ,"$3,865","$3,115","$2,115","$1,448","$1,983",,"$13,177",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,,
Total Table Games," 1,399 "," 1,401 ","1,404"," 1,408 "," 1,389 "," 1,408 "," 1,434 "," 1,432 "," 1,423 "," 1,422 ","1,414","1,419",,,
Gross Revenue,"$86,683,278","$78,453,939","$81,620,804 ","$79,848,316","$79,231,466","$81,655,998","$83,912,666","$74,505,042","$85,880,299","$84,373,687","$81,648,355","$76,204,262",,"$974,018,112",
State Tax Due 2,"$12,245,100","$11,062,246","$11,536,191 ","$11,296,546","$11,197,659","$11,632,122","$11,990,864","$10,668,895","$12,300,090","$12,133,131","$11,704,782","$10,902,754",,"$138,670,380",
Local Share Assessment,"$1,733,666","$1,569,079","$1,632,416 ","$1,596,967","$1,584,629","$1,633,120","$1,678,253","$1,490,101","$1,717,606","$1,687,474","$1,632,967","$1,524,085",,"$19,480,364",
Non-Banking Tables 3,212,214,214,214,208,207,211,213,211,210,210,210,,,
Gross Revenue,"$4,412,591","$3,985,112","$3,705,377 ","$3,891,632","$3,816,663","$4,000,175","$4,255,955","$4,071,669","$4,483,413","$4,179,916","$4,178,739","$4,178,480",,"$49,159,723",
State Tax Due 2,"$617,763","$557,916","$518,753 ","$544,828","$534,333","$560,025","$595,834","$570,034","$627,678","$585,188","$585,024","$584,987",,"$6,882,361",
Local Share Assessment,"$88,252","$79,702","$74,108 ","$77,833","$76,333","$80,004","$85,119","$81,433","$89,668","$83,598","$83,575","$83,570",,"$983,194",
Banking Tables 4,"1,055 ","1,054 ","1,056","1,055 ",1040,1056,1058,1040,1031,1029,1023,1019,,,
Gross Revenue,"$78,938,905","$71,125,509","$75,012,748 ","$72,605,050","$72,271,844","$74,318,869","$76,345,674","$67,046,316","$77,601,940","$76,322,376","$74,095,814","$68,845,853",,"$884,530,898",
State Tax Due 2,"$11,051,447","$9,957,571","$10,501,785 ","$10,164,707","$10,118,058","$10,404,642","$10,688,395","$9,386,484","$10,864,272","$10,685,133","$10,373,414","$9,638,419",,"$123,834,327",
Local Share Assessment,"$1,578,778","$1,422,510","$1,500,255 ","$1,452,101","$1,445,437","$1,486,377","$1,526,914","$1,340,926","$1,552,039","$1,526,448","$1,481,916","$1,376,917",,"$17,690,619",
Electronic Tables 5,0,0,0,0,0,0,0,0,0,0,0,0,,,
